theme,label,stakeholder_documents,stakeholder_share_pct,consultations,years_present,first_year,last_year,persistence_score,cbi_institutional_documents,cbi_institutional_share_pct,industry_vs_regulator_ratio,query
ambiguity,Unclear requirements,420,24.1,79,20,2006,2026,1580,91,26.8,0.9,"""unclear"" OR ""ambiguous"" OR ""ambiguity"" OR ""further clarity"" OR ""additional clarity"" OR ""clarification is"" OR ""we would welcome clarity"""
proportionality,Proportionality and smaller firms,554,31.8,74,19,2008,2026,1406,178,52.4,0.61,"""proportionality"" OR ""proportionate"" OR ""smaller firms"" OR ""smaller entities"" OR ""small firms"" OR ""one size fits all"" OR ""one-size-fits-all"""
compliance_cost,Cost and disproportionality,278,16.0,70,19,2008,2026,1330,74,21.8,0.73,"""disproportionate"" OR ""disproportionately"" OR ""cost of compliance"" OR ""compliance burden"" OR ""administrative burden"" OR ""resource intensive"" OR ""resource-intensive"" OR ""significant cost"""
outsourcing,Outsourcing and third parties,433,24.9,71,18,2008,2026,1278,164,48.2,0.52,"""outsourcing"" OR ""outsourced"" OR ""third party"" OR ""third-party"" OR ""intragroup"" OR ""intra-group"""
implementation_time,Implementation timelines,338,19.4,57,19,2008,2026,1083,106,31.2,0.62,"""implementation period"" OR ""lead time"" OR ""lead-in"" OR ""insufficient time"" OR ""not feasible"" OR ""transitional period"" OR ""sufficient time"""
authorisation_delay,Authorisation and approval friction,262,15.0,61,17,2007,2026,1037,108,31.8,0.47,"""authorisation process"" OR ""approval process"" OR ""application process"" OR ""delays"" OR ""timeframes"""
duplication,Duplicated effort and re-reporting,150,8.6,53,17,2008,2026,901,51,15.0,0.57,"""duplication"" OR ""duplicative"" OR ""already provided"" OR ""already reported"" OR ""same information"" OR ""multiple returns"" OR ""re-submit"" OR ""resubmit"""
definitions,Definitions and inconsistency,166,9.5,50,16,2008,2025,800,28,8.2,1.16,"""definition"" AND (unclear OR inconsistent OR differs OR differ OR aligned OR alignment)"
fitness_probity,Individual approval and vetting,315,18.1,46,16,2010,2026,736,105,30.9,0.59,"""fitness and probity"" OR ""pre-approval"" OR ""PCF"" OR ""controlled function"""
reporting_burden,Regulatory reporting mechanics,162,9.3,47,15,2010,2026,705,108,31.8,0.29,"(reporting OR ""returns"" OR ""return"") AND (burden OR frequency OR template OR templates OR taxonomy OR XBRL)"
credit_union_ops,Credit union operating constraints,509,29.2,38,16,2007,2026,608,85,25.0,1.17,"""credit union"" OR ""credit unions"" OR ""common bond"" OR ""CUSO"""
customer_comms,Customer disclosure mechanics,165,9.5,34,17,2006,2025,578,58,17.1,0.56,"""disclosure requirements"" OR ""customer communication"" OR ""information overload"" OR ""warning statement"""
systems_change,IT and system change,88,5.1,32,16,2006,2025,512,38,11.2,0.45,"""system changes"" OR ""systems changes"" OR ""IT systems"" OR ""legacy system"" OR ""legacy systems"" OR ""system build"" OR ""system development"" OR ""technology investment"""
safeguarding_ops,Safeguarding client money,111,6.4,33,15,2008,2026,495,70,20.6,0.31,"""safeguarding"" OR ""client money"" OR ""client assets"" OR ""segregation of funds"" OR ""safeguarded funds"""
switching_ops,Switching and portability mechanics,136,7.8,26,17,2009,2025,442,44,12.9,0.6,"""switching"" OR ""switch"" OR ""portability"" OR ""account transfer"""
fraud_ops,Fraud and scam handling,131,7.5,25,14,2010,2026,350,48,14.1,0.53,"fraud OR scam OR scams OR ""authorised push payment"" OR ""money mule"" OR impersonation"
manual_effort,Manual work and spreadsheets,65,3.7,24,13,2008,2025,312,21,6.2,0.6,"""manual"" OR ""manually"" OR ""spreadsheet"" OR ""spreadsheets"" OR ""re-key"" OR ""rekey"" OR ""paper-based"""
vulnerability,Vulnerable customers in practice,160,9.2,19,14,2008,2026,266,28,8.2,1.12,"""vulnerable customer"" OR ""vulnerable customers"" OR ""vulnerability"" OR ""in vulnerable circumstances"""
complaints_ops,Complaints handling operations,71,4.1,18,14,2008,2025,252,34,10.0,0.41,"""complaints handling"" OR ""complaint handling"" OR ""root cause"" OR ""root-cause"" OR ""complaints process"""
data_quality,Data quality and reconciliation,61,3.5,21,11,2010,2024,231,47,13.8,0.25,"""data quality"" OR ""data governance"" OR ""reconciliation"" OR ""reconcile"" OR ""data integrity"""
