id,label,query,matching_documents,matching_pages
bank_competition,Bank competition and concentration,"(bank OR banks OR banking OR lender OR lenders OR mortgage OR mortgages OR deposit OR deposits) AND (competition OR concentration OR ""market share"" OR switching)",1083,3154
mortgage_arrears,Mortgage arrears and distressed debt,mortgage AND (arrears OR restructuring OR repossession OR forbearance),611,2778
mortgage_switching,Mortgage switching and refinancing,mortgage AND (switching OR refinance OR refinancing OR cashback),278,733
sme_finance,SME finance and credit access,"(SME OR ""small business"" OR ""small and medium enterprises"") AND (credit OR lending OR finance OR funding)",453,1650
credit_unions,Credit unions,"""credit union"" OR ""credit unions""",1164,8516
consumer_harm,Consumer harm and vulnerability,(consumer OR customer) AND (harm OR vulnerable OR vulnerability OR detriment OR exploitation),606,1836
fraud_scams,"Fraud, scams and payment deception","fraud OR fraudulent OR scam OR scams OR phishing OR smishing OR vishing OR impersonation OR ""money mule"" OR ""money mules"" OR ""authorised push payment"" OR ""authorized push payment""",469,1077
aml_cft,"AML, CFT and financial crime controls","AML OR ""money laundering"" OR ""terrorist financing"" OR sanctions",860,3245
reg_reporting,Regulatory reporting burden and quality,(reporting OR returns OR submission) AND (burden OR manual OR error OR quality OR reconciliation OR duplication),903,2462
data_quality,Data quality and fragmentation,"""data quality"" OR ""data governance"" OR ""data gap"" OR ""fragmented data""",115,202
authorisation,Authorisation and licensing,"authorisation OR authorization OR licensing OR ""application process""",1243,5721
operational_resilience,Operational resilience and outsourcing,"""operational resilience"" OR outsourcing OR ""third party risk"" OR ""third-party risk"" OR ""critical third party"" OR ""business continuity"" OR DORA",601,2508
cybersecurity,Cybersecurity and ICT risk,"cybersecurity OR cyber OR ""ICT risk"" OR ransomware",221,633
payments,Payments and electronic money,"payments OR ""electronic money"" OR ""e-money"" OR ""payment institution""",1600,6253
open_banking,Open banking and data portability,"""open banking"" OR PSD2 OR AISP OR PISP OR ""account information service"" OR ""payment initiation service"" OR ""data portability""",141,389
cash_access,Cash access and infrastructure,cash AND (access OR ATM OR infrastructure OR acceptance OR withdrawal),377,812
financial_inclusion,Financial inclusion and basic access,"""financial inclusion"" OR ""basic bank account"" OR unbanked OR exclusion",404,635
insurance_protection_gap,Insurance affordability and protection gaps,"insurance AND (affordability OR availability OR exclusion OR ""protection gap"")",268,463
climate_finance,Climate and financial risk,climate AND (risk OR insurance OR lending OR finance OR transition OR physical),390,1295
funds_sector,Funds and asset management,"UCITS OR AIF OR ""investment fund"" OR ""fund management company""",881,8850
financial_literacy,Financial literacy and consumer understanding,"""financial literacy"" OR ""financial education"" OR ""consumer understanding""",184,536
complaints_redress,Complaints and consumer redress,complaints OR redress OR remediation OR compensation,1069,3130
legacy_systems,Legacy technology and manual processes,"""legacy system"" OR ""legacy systems"" OR ""manual process"" OR spreadsheets",33,46
housing_credit,"Housing, mortgages and credit supply",housing AND (mortgage OR credit OR lending OR affordability OR supply),631,2690
