id,label,query,matching_documents,matching_pages,stakeholder_documents,unresolved_documents
bank_competition,Bank competition and concentration,"(bank OR banks OR banking OR lender OR lenders OR mortgage OR mortgages OR deposit OR deposits) AND (competition OR concentration OR ""market share"" OR switching)",1110,3194,372,0
mortgage_arrears,Mortgage arrears and distressed debt,mortgage AND (arrears OR restructuring OR repossession OR forbearance),619,2795,196,0
mortgage_switching,Mortgage switching and refinancing,mortgage AND (switching OR refinance OR refinancing OR cashback),285,744,61,0
sme_finance,SME finance and credit access,"(SME OR ""small business"" OR ""small and medium enterprises"") AND (credit OR lending OR finance OR funding)",468,1669,108,0
credit_unions,Credit unions,"""credit union"" OR ""credit unions""",1183,8550,509,0
consumer_harm,Consumer harm and vulnerability,(consumer OR customer) AND (harm OR vulnerable OR vulnerability OR detriment OR exploitation),610,1849,261,0
fraud_scams,"Fraud, scams and payment deception","fraud OR fraudulent OR scam OR scams OR phishing OR smishing OR vishing OR impersonation OR ""money mule"" OR ""money mules"" OR ""authorised push payment"" OR ""authorized push payment""",510,1135,138,0
aml_cft,"AML, CFT and financial crime controls","AML OR ""money laundering"" OR ""terrorist financing"" OR sanctions",941,3363,184,0
reg_reporting,Regulatory reporting burden and quality,(reporting OR returns OR submission) AND (burden OR manual OR error OR quality OR reconciliation OR duplication),962,2528,310,0
data_quality,Data quality and fragmentation,"""data quality"" OR ""data governance"" OR ""data gap"" OR ""fragmented data""",116,204,8,0
authorisation,Authorisation and licensing,"authorisation OR authorization OR licensing OR ""application process""",1383,5967,273,0
operational_resilience,Operational resilience and outsourcing,"""operational resilience"" OR outsourcing OR ""third party risk"" OR ""third-party risk"" OR ""critical third party"" OR ""business continuity"" OR DORA",645,2571,163,0
cybersecurity,Cybersecurity and ICT risk,"cybersecurity OR cyber OR ""ICT risk"" OR ransomware",223,636,37,0
payments,Payments and electronic money,"payments OR ""electronic money"" OR ""e-money"" OR ""payment institution""",1669,6390,331,0
open_banking,Open banking and data portability,"""open banking"" OR PSD2 OR AISP OR PISP OR ""account information service"" OR ""payment initiation service"" OR ""data portability""",148,405,28,0
cash_access,Cash access and infrastructure,cash AND (access OR ATM OR infrastructure OR acceptance OR withdrawal),407,843,100,0
financial_inclusion,Financial inclusion and basic access,"""financial inclusion"" OR ""basic bank account"" OR unbanked OR exclusion",408,647,186,0
insurance_protection_gap,Insurance affordability and protection gaps,"insurance AND (affordability OR availability OR exclusion OR ""protection gap"")",278,473,102,0
climate_finance,Climate and financial risk,climate AND (risk OR insurance OR lending OR finance OR transition OR physical),396,1304,100,0
funds_sector,Funds and asset management,"UCITS OR AIF OR ""investment fund"" OR ""fund management company""",994,9026,251,0
financial_literacy,Financial literacy and consumer understanding,"""financial literacy"" OR ""financial education"" OR ""consumer understanding""",186,539,84,0
complaints_redress,Complaints and consumer redress,complaints OR redress OR remediation OR compensation,1118,3197,295,0
legacy_systems,Legacy technology and manual processes,"""legacy system"" OR ""legacy systems"" OR ""manual process"" OR spreadsheets",33,46,10,0
housing_credit,"Housing, mortgages and credit supply",housing AND (mortgage OR credit OR lending OR affordability OR supply),635,2695,126,0
