theme,label,stakeholder_documents,stakeholder_share_pct,consultations,years_present,first_year,last_year,persistence_score,cbi_documents,cbi_share_pct,industry_vs_regulator_ratio,query
ambiguity,Unclear requirements,400,25.0,78,20,2006,2026,1560,344,8.9,2.8,"""unclear"" OR ""ambiguous"" OR ""ambiguity"" OR ""further clarity"" OR ""additional clarity"" OR ""clarification is"" OR ""we would welcome clarity"""
outsourcing,Outsourcing and third parties,408,25.5,69,19,2008,2031,1311,1035,26.8,0.95,"""outsourcing"" OR ""outsourced"" OR ""third party"" OR ""third-party"" OR ""intragroup"" OR ""intra-group"""
compliance_cost,Cost and disproportionality,261,16.3,68,19,2008,2026,1292,288,7.5,2.19,"""disproportionate"" OR ""disproportionately"" OR ""cost of compliance"" OR ""compliance burden"" OR ""administrative burden"" OR ""resource intensive"" OR ""resource-intensive"" OR ""significant cost"""
proportionality,Proportionality and smaller firms,518,32.4,70,18,2009,2026,1260,701,18.2,1.78,"""proportionality"" OR ""proportionate"" OR ""smaller firms"" OR ""smaller entities"" OR ""small firms"" OR ""one size fits all"" OR ""one-size-fits-all"""
implementation_time,Implementation timelines,320,20.0,56,19,2008,2031,1064,389,10.1,1.98,"""implementation period"" OR ""lead time"" OR ""lead-in"" OR ""insufficient time"" OR ""not feasible"" OR ""transitional period"" OR ""sufficient time"""
authorisation_delay,Authorisation and approval friction,234,14.6,60,17,2007,2026,1020,739,19.1,0.76,"""authorisation process"" OR ""approval process"" OR ""application process"" OR ""delays"" OR ""timeframes"""
duplication,Duplicated effort and re-reporting,143,8.9,51,17,2008,2026,867,232,6.0,1.49,"""duplication"" OR ""duplicative"" OR ""already provided"" OR ""already reported"" OR ""same information"" OR ""multiple returns"" OR ""re-submit"" OR ""resubmit"""
fitness_probity,Individual approval and vetting,308,19.2,46,17,2010,2031,782,502,13.0,1.48,"""fitness and probity"" OR ""pre-approval"" OR ""PCF"" OR ""controlled function"""
definitions,Definitions and inconsistency,150,9.4,47,15,2010,2025,705,132,3.4,2.74,"""definition"" AND (unclear OR inconsistent OR differs OR differ OR aligned OR alignment)"
reporting_burden,Regulatory reporting mechanics,152,9.5,46,15,2010,2031,690,697,18.0,0.53,"(reporting OR ""returns"" OR ""return"") AND (burden OR frequency OR template OR templates OR taxonomy OR XBRL)"
credit_union_ops,Credit union operating constraints,482,30.1,37,16,2007,2026,592,674,17.5,1.73,"""credit union"" OR ""credit unions"" OR ""common bond"" OR ""CUSO"""
customer_comms,Customer disclosure mechanics,145,9.1,32,17,2006,2025,544,288,7.5,1.21,"""disclosure requirements"" OR ""customer communication"" OR ""information overload"" OR ""warning statement"""
safeguarding_ops,Safeguarding client money,106,6.6,32,15,2010,2031,480,425,11.0,0.6,"""safeguarding"" OR ""client money"" OR ""client assets"" OR ""segregation of funds"" OR ""safeguarded funds"""
systems_change,IT and system change,83,5.2,32,14,2006,2025,448,174,4.5,1.15,"""system changes"" OR ""systems changes"" OR ""IT systems"" OR ""legacy system"" OR ""legacy systems"" OR ""system build"" OR ""system development"" OR ""technology investment"""
switching_ops,Switching and portability mechanics,125,7.8,26,17,2009,2025,442,344,8.9,0.88,"""switching"" OR ""switch"" OR ""portability"" OR ""account transfer"""
fraud_ops,Fraud and scam handling,125,7.8,25,13,2010,2026,325,354,9.2,0.85,"fraud OR scam OR scams OR ""authorised push payment"" OR ""money mule"" OR impersonation"
manual_effort,Manual work and spreadsheets,57,3.6,23,13,2008,2025,299,256,6.6,0.54,"""manual"" OR ""manually"" OR ""spreadsheet"" OR ""spreadsheets"" OR ""re-key"" OR ""rekey"" OR ""paper-based"""
vulnerability,Vulnerable customers in practice,156,9.7,18,13,2010,2026,234,307,7.9,1.23,"""vulnerable customer"" OR ""vulnerable customers"" OR ""vulnerability"" OR ""in vulnerable circumstances"""
data_quality,Data quality and reconciliation,58,3.6,21,11,2010,2031,231,330,8.5,0.42,"""data quality"" OR ""data governance"" OR ""reconciliation"" OR ""reconcile"" OR ""data integrity"""
complaints_ops,Complaints handling operations,56,3.5,14,11,2010,2025,154,192,5.0,0.7,"""complaints handling"" OR ""complaint handling"" OR ""root cause"" OR ""root-cause"" OR ""complaints process"""
