theme,label,stakeholder_documents,stakeholder_share_pct,consultations,years_present,first_year,last_year,persistence_score,cbi_documents,cbi_share_pct,industry_vs_regulator_ratio,query
ambiguity,Unclear requirements,418,24.2,79,20,2006,2026,1580,348,9.0,2.68,"""unclear"" OR ""ambiguous"" OR ""ambiguity"" OR ""further clarity"" OR ""additional clarity"" OR ""clarification is"" OR ""we would welcome clarity"""
proportionality,Proportionality and smaller firms,551,32.0,74,19,2008,2026,1406,712,18.5,1.73,"""proportionality"" OR ""proportionate"" OR ""smaller firms"" OR ""smaller entities"" OR ""small firms"" OR ""one size fits all"" OR ""one-size-fits-all"""
compliance_cost,Cost and disproportionality,278,16.1,70,19,2008,2026,1330,286,7.4,2.17,"""disproportionate"" OR ""disproportionately"" OR ""cost of compliance"" OR ""compliance burden"" OR ""administrative burden"" OR ""resource intensive"" OR ""resource-intensive"" OR ""significant cost"""
outsourcing,Outsourcing and third parties,432,25.1,71,18,2008,2026,1278,1049,27.3,0.92,"""outsourcing"" OR ""outsourced"" OR ""third party"" OR ""third-party"" OR ""intragroup"" OR ""intra-group"""
implementation_time,Implementation timelines,338,19.6,57,19,2008,2026,1083,403,10.5,1.87,"""implementation period"" OR ""lead time"" OR ""lead-in"" OR ""insufficient time"" OR ""not feasible"" OR ""transitional period"" OR ""sufficient time"""
authorisation_delay,Authorisation and approval friction,260,15.1,61,17,2007,2026,1037,731,19.0,0.79,"""authorisation process"" OR ""approval process"" OR ""application process"" OR ""delays"" OR ""timeframes"""
duplication,Duplicated effort and re-reporting,150,8.7,53,17,2008,2026,901,233,6.1,1.44,"""duplication"" OR ""duplicative"" OR ""already provided"" OR ""already reported"" OR ""same information"" OR ""multiple returns"" OR ""re-submit"" OR ""resubmit"""
definitions,Definitions and inconsistency,166,9.6,50,16,2008,2025,800,126,3.3,2.94,"""definition"" AND (unclear OR inconsistent OR differs OR differ OR aligned OR alignment)"
fitness_probity,Individual approval and vetting,315,18.3,46,16,2010,2026,736,516,13.4,1.36,"""fitness and probity"" OR ""pre-approval"" OR ""PCF"" OR ""controlled function"""
reporting_burden,Regulatory reporting mechanics,162,9.4,47,15,2010,2026,705,711,18.5,0.51,"(reporting OR ""returns"" OR ""return"") AND (burden OR frequency OR template OR templates OR taxonomy OR XBRL)"
credit_union_ops,Credit union operating constraints,509,29.5,38,16,2007,2026,608,675,17.6,1.68,"""credit union"" OR ""credit unions"" OR ""common bond"" OR ""CUSO"""
customer_comms,Customer disclosure mechanics,161,9.3,34,17,2006,2025,578,285,7.4,1.26,"""disclosure requirements"" OR ""customer communication"" OR ""information overload"" OR ""warning statement"""
systems_change,IT and system change,88,5.1,32,16,2006,2025,512,180,4.7,1.09,"""system changes"" OR ""systems changes"" OR ""IT systems"" OR ""legacy system"" OR ""legacy systems"" OR ""system build"" OR ""system development"" OR ""technology investment"""
safeguarding_ops,Safeguarding client money,111,6.4,33,15,2008,2026,495,427,11.1,0.58,"""safeguarding"" OR ""client money"" OR ""client assets"" OR ""segregation of funds"" OR ""safeguarded funds"""
switching_ops,Switching and portability mechanics,133,7.7,26,17,2009,2025,442,344,8.9,0.86,"""switching"" OR ""switch"" OR ""portability"" OR ""account transfer"""
fraud_ops,Fraud and scam handling,130,7.5,25,13,2010,2026,325,359,9.3,0.81,"fraud OR scam OR scams OR ""authorised push payment"" OR ""money mule"" OR impersonation"
manual_effort,Manual work and spreadsheets,65,3.8,24,13,2008,2025,312,254,6.6,0.57,"""manual"" OR ""manually"" OR ""spreadsheet"" OR ""spreadsheets"" OR ""re-key"" OR ""rekey"" OR ""paper-based"""
vulnerability,Vulnerable customers in practice,160,9.3,19,14,2008,2026,266,312,8.1,1.14,"""vulnerable customer"" OR ""vulnerable customers"" OR ""vulnerability"" OR ""in vulnerable circumstances"""
complaints_ops,Complaints handling operations,70,4.1,18,14,2008,2025,252,191,5.0,0.82,"""complaints handling"" OR ""complaint handling"" OR ""root cause"" OR ""root-cause"" OR ""complaints process"""
data_quality,Data quality and reconciliation,61,3.5,21,11,2010,2024,231,333,8.7,0.41,"""data quality"" OR ""data governance"" OR ""reconciliation"" OR ""reconcile"" OR ""data integrity"""
